big,-6.625953320622171,-6.748815371311718,-7.001825020339213,-7.419294933481785
windows,-7.319100501182116,-8.694725520367031,-7.384817272595319,-8.959739974428933
view,-5.607383739627598,-5.943190207325082,-6.35519785541416,-6.691056433110569
michigan,-5.465209250847055,-7.1542804794198815,-7.097135200143538,-8.448914350662942
ave,-6.12284974295009,-8.001578339807086,-7.895642896361309,-9.365205082537098
sits,-9.190902678083708,-9.100190628475195,-9.399720293137584,-10.058352263097044
block,-7.175999657541443,-9.100190628475195,-8.013425932017693,-9.365205082537098
canal,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
bathrooms,-7.93813970958834,-8.18389989660104,-8.146957324642216,-8.959739974428933
furnished,-8.092290389415599,-7.490752716041095,-8.483429561263428,-8.448914350662942
absolutely,-7.175999657541443,-6.79760553548115,-7.694972200899159,-7.755767170102998
fixtures,-8.274611946209552,-8.694725520367031,-8.706573112577638,-8.672057901977153
sporting,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
design,-8.785437569975544,-8.18389989660104,-8.483429561263428,-9.365205082537098
showers,-8.785437569975544,-9.79333780903514,-8.706573112577638,-10.058352263097044
side,-7.686825281307433,-8.694725520367031,-7.527918116235992,-7.755767170102998
shower,-6.450062654158507,-7.847427659979827,-6.161041840973203,-6.762515397092715
enjoy,-7.686825281307433,-6.960124464978924,-8.483429561263428,-7.419294933481785
close,-6.588212992639324,-6.657843593105991,-7.202495715801364,-7.493402905635507
waterproof,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
drapes,-9.190902678083708,-9.79333780903514,-9.399720293137584,-10.058352263097044
staff,-4.886837584879538,-4.8375107514338795,-5.339277282591164,-5.385523428635137
front,-6.033902256933595,-6.574461984166939,-5.5495726914275245,-5.453182077108952
doorman,-7.244992529028394,-9.100190628475195,-9.399720293137584,-9.365205082537098
feels,-8.497755497523762,-8.694725520367031,-9.399720293137584,-10.058352263097044
intimate,-9.190902678083708,-9.79333780903514,-9.399720293137584,-10.058352263097044
nice,-5.330172967043112,-5.618950539139504,-5.775379360161218,-6.015300995262493
energy,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
screen,-7.111461136403872,-6.8488988298687,-8.994255185029418,-8.266592793868988
catch,-8.274611946209552,-9.79333780903514,-9.399720293137584,-8.959739974428933
latest,-9.190902678083708,-9.79333780903514,-9.399720293137584,-9.365205082537098
scores,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
course,-8.274611946209552,-8.694725520367031,-7.607960823909528,-8.266592793868988
pumps,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
place,-6.1951704045297165,-5.530657931993825,-6.455281313971143,-5.883964993201406
stay,-4.685552827377827,-4.390660427162861,-4.877931716088543,-4.701765988425031
plain,-8.497755497523762,-9.79333780903514,-8.994255185029418,-8.448914350662942
designed,-9.190902678083708,-7.847427659979827,-9.399720293137584,-8.959739974428933
fun,-7.175999657541443,-6.960124464978924,-8.706573112577638,-7.755767170102998
memorable,-8.785437569975544,-8.694725520367031,-10.09286747369753,-9.365205082537098
ll,-7.686825281307433,-7.3084311592471405,-7.790282380703483,-7.419294933481785
return,-6.83952742092023,-6.748815371311718,-7.607960823909528,-7.350302061994833
concern,-8.497755497523762,-8.694725520367031,-8.994255185029418,-10.058352263097044
crazy,-9.190902678083708,-9.79333780903514,-9.399720293137584,-9.365205082537098
charge,-7.804608316963817,-8.40704344791525,-6.4039880195835925,-7.225138919040828
parking,-6.551845348468449,-8.40704344791525,-6.834770935676047,-6.922858047167893
car,-7.319100501182116,-8.18389989660104,-7.320278751457748,-7.1679805052008785
overnight,-9.190902678083708,-9.100190628475195,-8.301108004469473,-10.058352263097044
daily,-8.497755497523762,-8.694725520367031,-9.399720293137584,-10.058352263097044
rate,-6.328701797154239,-7.713896267355304,-6.873991648829328,-7.861127685760824
night,-5.4413986021533365,-6.00914817511688,-5.339277282591164,-5.453182077108952
going,-6.793007405285337,-6.902966051138976,-6.725571643711055,-6.208204661386985
loop,-7.4861545858452825,-9.79333780903514,-8.706573112577638,-10.058352263097044
reviews,-6.551845348468449,-8.40704344791525,-7.202495715801364,-7.861127685760824
true,-8.497755497523762,-8.694725520367031,-8.483429561263428,-8.448914350662942
highly,-6.357689334027492,-6.327601906235414,-8.994255185029418,-7.660456990298673
impressed,-7.050836514587437,-6.902966051138976,-7.607960823909528,-7.755767170102998
high,-6.888317585089662,-6.657843593105991,-7.001825020339213,-6.561844701630563
quality,-7.4861545858452825,-7.02074908679536,-6.957373257768379,-6.839476438228843
location,-4.949575925512962,-5.861512176310815,-5.686148226433276,-6.624365058611897
walking,-6.1951704045297165,-6.702295355676824,-7.527918116235992,-8.266592793868988
distance,-6.3875422971771725,-7.02074908679536,-8.146957324642216,-8.959739974428933
offer,-7.804608316963817,-7.228388451573604,-7.148428494531088,-7.062619989543053
gibson,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
steakhouse,-9.190902678083708,-8.40704344791525,-9.399720293137584,-10.058352263097044
hancock,-7.319100501182116,-9.79333780903514,-10.09286747369753,-10.058352263097044
building,-7.111461136403872,-8.001578339807086,-7.259654129641312,-7.861127685760824
couple,-7.399143208855652,-8.001578339807086,-7.694972200899159,-7.978910721417208
top,-6.83952742092023,-6.902966051138976,-7.202495715801364,-7.419294933481785
ten,-8.497755497523762,-8.40704344791525,-8.013425932017693,-8.266592793868988
hotels,-6.12284974295009,-5.964696412546045,-5.933984390337857,-6.208204661386985
three,-7.175999657541443,-7.3084311592471405,-7.384817272595319,-7.285763540857262
stars,-8.785437569975544,-7.847427659979827,-8.301108004469473,-8.672057901977153
hilton,-8.274611946209552,-7.490752716041095,-7.694972200899159,-6.880298432749098
garden,-9.190902678083708,-9.79333780903514,-10.09286747369753,-9.365205082537098
inn,-9.190902678083708,-9.79333780903514,-7.607960823909528,-8.11244211404173
marriott,-8.785437569975544,-9.79333780903514,-8.706573112577638,-9.365205082537098
courtyard,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
exceeds,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
chain,-7.93813970958834,-8.694725520367031,-8.146957324642216,-8.11244211404173
depending,-9.190902678083708,-9.100190628475195,-10.09286747369753,-10.058352263097044
price,-6.551845348468449,-6.79760553548115,-6.201047175586902,-6.208204661386985
good,-5.621369981602338,-6.359350604549994,-5.710840839023647,-5.91521753670551
deal,-6.7485556427145035,-7.847427659979827,-6.873991648829328,-7.493402905635507
worth,-7.244992529028394,-6.748815371311718,-6.873991648829328,-7.1679805052008785
august,-8.497755497523762,-9.79333780903514,-9.399720293137584,-9.365205082537098
sixteen,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
year,-7.175999657541443,-7.596113231698921,-7.001825020339213,-7.660456990298673
son,-8.092290389415599,-8.001578339807086,-8.146957324642216,-8.11244211404173
thoroughly,-8.274611946209552,-8.40704344791525,-10.09286747369753,-8.672057901977153
enjoyed,-6.450062654158507,-6.129776162905494,-9.399720293137584,-9.365205082537098
reasonable,-8.092290389415599,-7.1542804794198815,-8.994255185029418,-8.672057901977153
located,-7.175999657541443,-6.535241271013659,-7.45381014408227,-7.350302061994833
avenue,-6.551845348468449,-8.40704344791525,-7.895642896361309,-8.672057901977153
concierge,-6.1951704045297165,-7.3084311592471405,-7.45381014408227,-7.660456990298673
service,-5.395413488911513,-5.2715492319861,-5.172886547869404,-5.054405957151584
excellent,-5.694395116617227,-6.392140427372985,-7.607960823909528,-8.448914350662942
enhanced,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
making,-7.93813970958834,-7.713896267355304,-7.895642896361309,-7.062619989543053
easy,-7.050836514587437,-6.79760553548115,-8.146957324642216,-8.672057901977153
plan,-8.497755497523762,-7.490752716041095,-8.146957324642216,-8.448914350662942
activities,-8.274611946209552,-8.18389989660104,-9.399720293137584,-8.959739974428933
john,-7.4861545858452825,-9.79333780903514,-10.09286747369753,-10.058352263097044
entwistle,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
touch,-7.93813970958834,-8.18389989660104,-8.706573112577638,-10.058352263097044
single,-8.497755497523762,-9.100190628475195,-8.706573112577638,-8.11244211404173
fathers,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
appreciate,-8.274611946209552,-9.79333780903514,-10.09286747369753,-8.959739974428933
difficult,-9.190902678083708,-9.100190628475195,-7.790282380703483,-7.861127685760824
affordable,-8.785437569975544,-8.18389989660104,-8.994255185029418,-8.959739974428933
vacation,-8.497755497523762,-6.392140427372985,-8.301108004469473,-7.350302061994833
children,-8.785437569975544,-8.18389989660104,-8.994255185029418,-7.493402905635507
helped,-8.092290389415599,-7.228388451573604,-8.994255185029418,-8.672057901977153
accomplish,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
love,-6.793007405285337,-7.3084311592471405,-8.301108004469473,-8.11244211404173
ambassador,-6.888317585089662,-6.327601906235414,-7.895642896361309,-6.967309809738728
east,-6.939610879477212,-6.327601906235414,-7.694972200899159,-7.062619989543053
classic,-8.274611946209552,-8.40704344791525,-10.09286747369753,-8.959739974428933
treasure,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
minute,-6.939610879477212,-8.18389989660104,-8.483429561263428,-8.672057901977153
arrive,-8.497755497523762,-9.100190628475195,-8.483429561263428,-7.755767170102998
greeted,-7.581464765649607,-7.228388451573604,-8.013425932017693,-7.493402905635507
warmly,-8.497755497523762,-8.18389989660104,-10.09286747369753,-10.058352263097044
felt,-7.175999657541443,-6.2098188705790305,-7.202495715801364,-7.062619989543053
clean,-5.2689293418023935,-5.47584969549883,-6.201047175586902,-6.320682644813675
quiet,-6.625953320622171,-8.001578339807086,-7.694972200899159,-8.448914350662942
accomodating,-8.274611946209552,-9.100190628475195,-8.994255185029418,-8.959739974428933
biggest,-8.497755497523762,-9.79333780903514,-8.994255185029418,-9.365205082537098
gem,-8.497755497523762,-9.79333780903514,-10.09286747369753,-10.058352263097044
pump,-7.244992529028394,-7.3084311592471405,-8.994255185029418,-10.058352263097044
restaurant,-6.0773873688733335,-6.0797657423308324,-6.797030607693199,-6.922858047167893
best,-6.12284974295009,-5.881314803606995,-7.148428494531088,-6.967309809738728
drinks,-7.399143208855652,-7.847427659979827,-8.013425932017693,-7.978910721417208
amazing,-6.888317585089662,-5.943190207325082,-8.146957324642216,-8.959739974428933
food,-6.300530920187543,-6.0321376933415785,-6.797030607693199,-6.229710866607949
exciting,-9.190902678083708,-8.694725520367031,-9.399720293137584,-8.672057901977153
photographs,-9.190902678083708,-9.79333780903514,-10.09286747369753,-9.365205082537098
weekends,-8.274611946209552,-9.79333780903514,-9.399720293137584,-10.058352263097044
set,-8.497755497523762,-8.001578339807086,-7.259654129641312,-7.573445613309043
fabulous,-6.888317585089662,-7.490752716041095,-10.09286747369753,-9.365205082537098
historical,-8.785437569975544,-9.100190628475195,-10.09286747369753,-10.058352263097044
neightborhood,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
walk,-6.0773873688733335,-7.085287607932931,-6.725571643711055,-7.978910721417208
lakefront,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
hometown,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
bars,-7.804608316963817,-9.100190628475195,-7.895642896361309,-9.365205082537098
restaurants,-6.516754028657179,-6.748815371311718,-8.013425932017693,-8.11244211404173
shopping,-6.0773873688733335,-6.392140427372985,-7.694972200899159,-7.978910721417208
street,-6.7485556427145035,-8.694725520367031,-6.725571643711055,-7.755767170102998
market,-8.497755497523762,-9.79333780903514,-10.09286747369753,-9.365205082537098
summer,-8.497755497523762,-8.001578339807086,-8.994255185029418,-8.448914350662942
fall,-9.190902678083708,-9.100190628475195,-9.399720293137584,-8.448914350662942
area,-6.0773873688733335,-5.69899324681304,-6.509348535241418,-6.800255725075561
real,-7.93813970958834,-8.40704344791525,-8.301108004469473,-8.266592793868988
interesting,-8.497755497523762,-8.40704344791525,-10.09286747369753,-9.365205082537098
flavor,-9.190902678083708,-9.79333780903514,-9.399720293137584,-9.365205082537098
updating,-8.497755497523762,-9.79333780903514,-8.706573112577638,-10.058352263097044
totally,-8.497755497523762,-8.694725520367031,-8.146957324642216,-8.266592793868988
happy,-7.399143208855652,-7.3084311592471405,-8.483429561263428,-7.861127685760824
content,-9.190902678083708,-9.100190628475195,-10.09286747369753,-10.058352263097044
travel,-7.399143208855652,-7.02074908679536,-6.834770935676047,-7.861127685760824
work,-7.399143208855652,-6.497500943030811,-6.264226077208434,-6.320682644813675
kinds,-9.190902678083708,-9.79333780903514,-10.09286747369753,-8.672057901977153
will,-5.7569154735985615,-5.293528138704875,-5.560267980544273,-5.639511655300446
future,-7.319100501182116,-7.713896267355304,-8.483429561263428,-8.448914350662942
returned,-7.399143208855652,-8.694725520367031,-7.607960823909528,-8.11244211404173
talbott,-6.665174033775452,-6.574461984166939,-7.097135200143538,-6.922858047167893
visit,-7.050836514587437,-5.804353762470866,-8.013425932017693,-7.113913283930603
honestly,-9.190902678083708,-8.694725520367031,-8.994255185029418,-9.365205082537098
wouldn,-7.93813970958834,-8.40704344791525,-7.148428494531088,-7.493402905635507
t,-5.1478514102491575,-5.228989617567304,-4.516918370551212,-4.548963926469066
greated,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
bell,-7.686825281307433,-8.40704344791525,-8.301108004469473,-8.448914350662942
captain,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
final,-9.190902678083708,-9.79333780903514,-8.706573112577638,-9.365205082537098
departure,-9.190902678083708,-9.79333780903514,-8.994255185029418,-10.058352263097044
greeting,-8.092290389415599,-9.100190628475195,-9.399720293137584,-10.058352263097044
smile,-8.497755497523762,-8.18389989660104,-8.483429561263428,-10.058352263097044
help,-7.804608316963817,-7.490752716041095,-7.148428494531088,-6.691056433110569
attitute,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
bed,-5.502023223969771,-6.104458354921205,-5.458138485467893,-5.701643436407451
wife,-6.665174033775452,-6.359350604549994,-7.148428494531088,-6.394790616967397
slept,-7.686825281307433,-8.001578339807086,-8.013425932017693,-8.672057901977153
including,-7.319100501182116,-7.713896267355304,-7.607960823909528,-9.365205082537098
seasons,-8.274611946209552,-9.79333780903514,-8.013425932017693,-10.058352263097044
breakfasts,-8.497755497523762,-9.79333780903514,-9.399720293137584,-9.365205082537098
basil,-8.785437569975544,-9.79333780903514,-10.09286747369753,-10.058352263097044
missing,-9.190902678083708,-9.79333780903514,-8.013425932017693,-8.448914350662942
fantastic,-6.665174033775452,-6.461133298859937,-8.483429561263428,-10.058352263097044
didn,-6.450062654158507,-6.574461984166939,-5.84437223164817,-5.8098570210476845
nights,-6.220488212514006,-6.748815371311718,-6.35519785541416,-7.062619989543053
business,-6.357689334027492,-5.804353762470866,-6.308677839779268,-6.762515397092715
pleased,-7.581464765649607,-7.3084311592471405,-8.706573112577638,-8.266592793868988
friendly,-5.5273410319540615,-5.5028783678867494,-6.797030607693199,-7.1679805052008785
confirming,-9.190902678083708,-9.79333780903514,-9.399720293137584,-10.058352263097044
lore,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
midwest,-9.190902678083708,-9.79333780903514,-10.09286747369753,-9.365205082537098
upgraded,-7.319100501182116,-8.694725520367031,-8.706573112577638,-8.672057901977153
suite,-6.300530920187543,-6.359350604549994,-7.001825020339213,-6.657154881434888
bigger,-8.785437569975544,-8.694725520367031,-9.399720293137584,-10.058352263097044
apartment,-8.497755497523762,-8.694725520367031,-8.994255185029418,-9.365205082537098
free,-6.055408462154558,-6.748815371311718,-6.4039880195835925,-6.922858047167893
wi,-8.497755497523762,-7.847427659979827,-8.301108004469473,-7.573445613309043
fi,-8.497755497523762,-7.847427659979827,-8.301108004469473,-7.573445613309043
handy,-8.274611946209552,-9.100190628475195,-9.399720293137584,-8.959739974428933
needed,-7.244992529028394,-6.79760553548115,-7.320278751457748,-7.573445613309043
remotely,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
comfort,-8.274611946209552,-7.39544253623677,-8.994255185029418,-10.058352263097044
workout,-7.804608316963817,-7.3084311592471405,-9.399720293137584,-8.448914350662942
huge,-6.625953320622171,-7.1542804794198815,-7.790282380703483,-7.861127685760824
equinox,-9.190902678083708,-8.694725520367031,-10.09286747369753,-10.058352263097044
door,-6.793007405285337,-7.490752716041095,-6.201047175586902,-6.297152147403481
wow,-8.497755497523762,-8.18389989660104,-8.706573112577638,-9.365205082537098
start,-8.092290389415599,-8.18389989660104,-7.790282380703483,-7.660456990298673
booked,-6.3875422971771725,-7.228388451573604,-6.06751578296238,-6.344780196392736
paid,-7.111461136403872,-9.100190628475195,-6.537519412208115,-6.880298432749098
travellodge,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
downtown,-6.300530920187543,-5.901517510924514,-7.148428494531088,-6.561844701630563
check,-6.0773873688733335,-6.497500943030811,-5.775379360161218,-5.615701006606727
breeze,-8.497755497523762,-8.694725520367031,-9.399720293137584,-9.365205082537098
entire,-8.092290389415599,-7.39544253623677,-7.259654129641312,-7.861127685760824
helpful,-5.6499433540463935,-6.0797657423308324,-7.001825020339213,-7.573445613309043
king,-6.939610879477212,-7.085287607932931,-6.914813643349583,-6.691056433110569
nightstands,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
chairs,-8.274611946209552,-8.694725520367031,-8.994255185029418,-9.365205082537098
small,-6.588212992639324,-7.847427659979827,-6.161041840973203,-6.624365058611897
table,-7.93813970958834,-9.100190628475195,-8.146957324642216,-8.672057901977153
closet,-8.274611946209552,-9.79333780903514,-8.146957324642216,-8.672057901977153
furniture,-8.092290389415599,-8.18389989660104,-7.202495715801364,-7.573445613309043
signs,-8.497755497523762,-9.79333780903514,-9.399720293137584,-8.959739974428933
wear,-8.497755497523762,-9.79333780903514,-9.399720293137584,-9.365205082537098
adds,-8.785437569975544,-9.79333780903514,-10.09286747369753,-10.058352263097044
charm,-7.93813970958834,-9.100190628475195,-8.483429561263428,-10.058352263097044
rich,-9.190902678083708,-8.40704344791525,-10.09286747369753,-8.959739974428933
history,-8.092290389415599,-9.100190628475195,-10.09286747369753,-9.365205082537098
neighborhood,-7.399143208855652,-8.694725520367031,-8.483429561263428,-8.959739974428933
staying,-7.111461136403872,-6.104458354921205,-6.429305827567882,-5.964007700874943
condo,-8.785437569975544,-9.79333780903514,-10.09286747369753,-10.058352263097044
noise,-7.319100501182116,-9.100190628475195,-6.725571643711055,-6.839476438228843
blocks,-6.328701797154239,-8.40704344791525,-7.895642896361309,-10.058352263097044
rush,-7.804608316963817,-9.100190628475195,-9.399720293137584,-8.448914350662942
division,-8.497755497523762,-9.79333780903514,-8.994255185029418,-10.058352263097044
streets,-8.785437569975544,-9.79333780903514,-8.994255185029418,-9.365205082537098
nightlife,-8.785437569975544,-9.100190628475195,-8.994255185029418,-10.058352263097044
red,-8.092290389415599,-9.100190628475195,-7.527918116235992,-8.672057901977153
clark,-9.190902678083708,-9.79333780903514,-9.399720293137584,-10.058352263097044
decided,-6.993678100747489,-7.02074908679536,-7.607960823909528,-6.229710866607949
thing,-7.4861545858452825,-7.3084311592471405,-6.658880269212382,-6.762515397092715
knew,-8.274611946209552,-7.596113231698921,-8.301108004469473,-7.861127685760824
action,-8.497755497523762,-8.694725520367031,-9.399720293137584,-10.058352263097044
breakfast,-5.773175994470342,-6.8488988298687,-6.379295406993221,-6.624365058611897
story,-8.497755497523762,-9.79333780903514,-9.399720293137584,-9.365205082537098
booth,-8.497755497523762,-9.79333780903514,-10.09286747369753,-10.058352263097044
time,-5.8586981679085035,-5.338990512781633,-5.686148226433276,-5.423623274867408
sat,-8.785437569975544,-8.694725520367031,-8.301108004469473,-8.11244211404173
impressive,-8.785437569975544,-8.40704344791525,-8.994255185029418,-10.058352263097044
photos,-8.785437569975544,-8.40704344791525,-8.301108004469473,-8.672057901977153
celebrity,-9.190902678083708,-8.40704344791525,-9.399720293137584,-9.365205082537098
guests,-7.581464765649607,-6.902966051138976,-6.429305827567882,-7.062619989543053
adorn,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
walls,-8.785437569975544,-8.694725520367031,-7.001825020339213,-7.225138919040828
chance,-8.497755497523762,-8.18389989660104,-8.706573112577638,-7.861127685760824
dinner,-6.665174033775452,-6.461133298859937,-7.45381014408227,-7.573445613309043
someday,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
fancy,-9.190902678083708,-9.100190628475195,-9.399720293137584,-8.11244211404173
bit,-6.482852476981497,-7.596113231698921,-6.873991648829328,-7.113913283930603
pricy,-9.190902678083708,-9.79333780903514,-10.09286747369753,-9.365205082537098
opinion,-8.785437569975544,-8.18389989660104,-8.146957324642216,-8.959739974428933
waitstaff,-8.785437569975544,-9.79333780903514,-10.09286747369753,-10.058352263097044
worked,-9.190902678083708,-7.847427659979827,-8.706573112577638,-8.266592793868988
wait,-7.175999657541443,-7.39544253623677,-6.797030607693199,-6.166531964986417
anniversary,-7.686825281307433,-7.847427659979827,-8.483429561263428,-7.1679805052008785
clerk,-9.190902678083708,-8.694725520367031,-7.259654129641312,-6.447434350452819
upgrade,-7.581464765649607,-9.100190628475195,-7.607960823909528,-8.266592793868988
imagine,-8.497755497523762,-9.100190628475195,-8.301108004469473,-8.266592793868988
surprise,-7.804608316963817,-9.79333780903514,-8.706573112577638,-8.959739974428933
corner,-6.888317585089662,-8.18389989660104,-8.301108004469473,-7.573445613309043
tower,-7.244992529028394,-9.100190628475195,-8.301108004469473,-10.058352263097044
river,-6.516754028657179,-7.713896267355304,-7.607960823909528,-8.959739974428933
beautiful,-6.2464636989172675,-5.634454725675469,-7.790282380703483,-7.978910721417208
cabs,-8.274611946209552,-9.100190628475195,-9.399720293137584,-10.058352263097044
cab,-7.4861545858452825,-9.100190628475195,-8.301108004469473,-8.448914350662942
ride,-7.93813970958834,-9.100190628475195,-8.301108004469473,-8.11244211404173
dec,-8.497755497523762,-9.79333780903514,-10.09286747369753,-10.058352263097044
chriskindl,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
festival,-8.785437569975544,-9.79333780903514,-9.399720293137584,-10.058352263097044
strudel,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
find,-6.993678100747489,-6.79760553548115,-6.596359912231049,-6.166531964986417
boutique,-7.804608316963817,-9.100190628475195,-8.706573112577638,-8.959739974428933
type,-8.092290389415599,-8.694725520367031,-8.483429561263428,-7.660456990298673
tree,-9.190902678083708,-9.100190628475195,-9.399720293137584,-10.058352263097044
lined,-9.190902678083708,-9.100190628475195,-9.399720293137584,-9.365205082537098
oppressive,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
crunch,-9.190902678083708,-9.79333780903514,-10.09286747369753,-10.058352263097044
sized,-7.804608316963817,-7.490752716041095,-8.483429561263428,-7.755767170102998
tub,-6.993678100747489,-8.40704344791525,-7.001825020339213,-7.573445613309043
air,-7.93813970958834,-8.18389989660104,-7.384817272595319,-6.624365058611897
conditioner,-9.190902678083708,-9.79333780903514,-8.994255185029418,-7.978910721417208
mentioned,-8.274611946209552,-9.79333780903514,-8.146957324642216,-8.672057901977153
noisy,-8.092290389415599,-9.79333780903514,-7.45381014408227,-8.672057901977153
minor,-8.092290389415599,-8.694725520367031,-8.706573112577638,-8.959739974428933
complaint,-7.581464765649607,-8.694725520367031,-9.399720293137584,-9.365205082537098
simply,-7.686825281307433,-7.596113231698921,-7.607960823909528,-7.755767170102998
attentive,-7.804608316963817,-8.18389989660104,-9.399720293137584,-10.058352263097044
